Program,Operating Carrier,Origin,Destination,Cost Economy (One Way),Cost Business (One Way),Cost First (One Way),Cost Economy (Off-Peak)
Alaska,Emirates,Continental US & Canada,Middle East,42500,72500,90000,"""N/A"""
Alaska,Air France / KLM,Continental US & Canada,Middle East,40000,70000,"""N/A""","""N/A"""
Alaska,British Airways,Continental US & Canada,Middle East,50000,70000,80000,"""N/A"""
Alaska,Delta,Continental US & Canada,Middle East,42500,70000,"""N/A""","""N/A"""
Alaska,Korean,Continental US & Canada,Middle East,50000,70000,"""N/A""","""N/A"""
Alaska,Cathay Pacific,Continental US & Canada,Middle East,50000,62500,70000,"""N/A"""
Alaska,Korean,Continental US & Canada,Mongolia,35000,52500,"""N/A""","""N/A"""
Alaska,Cathay Pacific,Continental US & Canada,Mongolia,30000,50000,70000,"""N/A"""
Alaska,Emirates,Continental US & Canada,Rest of Asia,52500,75000,100000,"""N/A"""
Alaska,Delta,Continental US & Canada,Rest of Asia,40000,70000,"""N/A""","""N/A"""
Alaska,Korean,Continental US & Canada,Rest of Asia,42500,60000,"""N/A""","""N/A"""
Alaska,Cathay Pacific,Continental US & Canada,Rest of Asia,30000,50000,70000,"""N/A"""
Alaska,Delta,Continental US & Canada,South Africa,50000,80000,"""N/A""","""N/A"""
Alaska,Emirates,Continental US & Canada,South Africa,47500,77500,100000,"""N/A"""
Alaska,Air France / KLM,Continental US & Canada,South Africa,40000,70000,"""N/A""","""N/A"""
Alaska,British Airways,Continental US & Canada,South Africa,50000,70000,80000,"""N/A"""
Alaska,Cathay Pacific,Continental US & Canada,South Africa,50000,62500,70000,"""N/A"""
Alaska,Delta,Continental US & Canada,South America,22500,45000,"""N/A""","""N/A"""
Alaska,Aeromexico,Continental US & Canada,South America,"""N/A""","""N/A""","""N/A""","""N/A"""
Alaska,American,Continental US & Canada,South America,17500,30000,40000,15000
Alaska,Korean,Continental US & Canada,Taiwan,35000,52500,"""N/A""","""N/A"""
Alaska,Cathay Pacific,Continental US & Canada,Taiwan,30000,50000,70000,"""N/A"""
