Reference Airport Code,Traffic Level,Country,United,American,Taca,Delta,Alaska,Korean (on Korean),Korean (on Skyteam),ANA,Singapore,Virgin Atlantic (on DL),Air France,Lufthansa/Miles&More,Alitalia,Aeromexico,Air Canada,,,
EVN,Very Low,Armenia,Europe,Europe,Middle East/North Africa,Europe,Other,,Europe,Europe,"Middle East, North Africa",,"Middle East, Central Asia, Central Russia",Middle East/Caucasus/North/Central Africa,Europe 3 & Near East,Middle East,Europe 2,,"EVN,",13
AUA,Low,Aruba,Caribbean,Caribbean,Caribbean,Caribbean,Caribbean,,Central America,"South, Latin America","Hawaii, Central America","Caribbean, Mexico & Central America","North America, Aruba, Bonaire, Curacao, Suriname",Central America & Caribbean,"Central America, Caribbean, Hawaii, Mexico",Central America & Caribbean,Caribbean & Central America,,"AUA,",14
ADL,Medium,Australia - Adelaide,Australia / New Zealand,South Pacific,Others,Southwest Pacific,Australia / New Zealand,,Oceania,"Oceania, Micronesia","Zone 9 - Australia (excl Perth, Darwin - New Zealand)",,Pacific 2,Australia/New Zealand/Oceania,Australia & Pacific,"Australia, NZ and South Pacific","Australia, New Zealand & South Pacific",,"ADL,",13
BNE,Medium,Australia - Brisbane,Australia / New Zealand,South Pacific,Others,Southwest Pacific,Australia / New Zealand,Oceania,Oceania,"Oceania, Micronesia","Zone 9 - Australia (excl Perth, Darwin - New Zealand)",South West Pacific,Pacific 2,Australia/New Zealand/Oceania,Australia & Pacific,"Australia, NZ and South Pacific","Australia, New Zealand & South Pacific",,"BNE,",15
OOL,Medium,Australia - Gold Coast,Australia / New Zealand,South Pacific,Others,Southwest Pacific,Australia / New Zealand,,Oceania,"Oceania, Micronesia",South West Pacific,,Pacific 2,Australia/New Zealand/Oceania,Australia & Pacific,"Australia, NZ and South Pacific","Australia, New Zealand & South Pacific",,"OOL,",13
MEL,Alliance Hub,Australia - Melbourne,Australia / New Zealand,South Pacific,Others,Southwest Pacific,Australia / New Zealand,,Oceania,"Oceania, Micronesia","Zone 9 - Australia (excl Perth, Darwin - New Zealand)",,Pacific 2,Australia/New Zealand/Oceania,Australia & Pacific,"Australia, NZ and South Pacific","Australia, New Zealand & South Pacific",,"MEL,",13
PER,Medium,Australia - Perth,Australia / New Zealand,South Pacific,Others,Southwest Pacific,Australia / New Zealand,,Oceania,"Oceania, Micronesia",Zone 8 - Australia (Perth & Darwin),,Pacific 2,Australia/New Zealand/Oceania,Australia & Pacific,"Australia, NZ and South Pacific","Australia, New Zealand & South Pacific",,"PER,",13
SYD,Alliance Hub,Australia - Sydney,Australia / New Zealand,South Pacific,Others,Southwest Pacific,Australia / New Zealand,Oceania,Oceania,"Oceania, Micronesia","Zone 9 - Australia (excl Perth, Darwin - New Zealand)",South West Pacific,Pacific 2,Australia/New Zealand/Oceania,Australia & Pacific,"Australia, NZ and South Pacific","Australia, New Zealand & South Pacific",,"SYD,",15
VIE,Alliance Hub,Austria,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,,Europe 2,Europe,Europe 1 & North Africa 1,Europe,Europe 1,,"VIE,",13
BAK,Very Low,Azerbaijan,Middle East,Europe,Middle East/North Africa,Europe,Middle East,,Europe,Europe,"Middle East, North Africa",,"Middle East, Central Asia, Central Russia",Middle East/Caucasus/North/Central Africa,Europe 3 & Near East,Middle East,Europe 2,,"BAK,",13
